"sf__Id","sf__Error","Subject","ActivityDate","CallType","Status","OwnerId","WhoId"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktSBEIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 1","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQy0IAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/u to schedule AI redo based on time.","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQziIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQGCIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","F/up to schedule SI 2","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQGuIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","KIT","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQGhIAM"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","KIT","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktQz1IAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","0035f00002G7hotAAB"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","KIT","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRxOIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo0000154lONIAY"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktSUYIA2"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRvgIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktPhMIAU"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktSelIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000Xz1qlIAB"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB","003Vo00000ktRwmIAE"
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
"","MALFORMED_ID:Assigned To ID: id value of incorrect type: 005Vo00000DqpnpAAB:OwnerId --","Call","2025-03-21","Inbound","Not Started","005Vo00000DqpnpAAB",""
