"sf__Id","sf__Error","Id","TaskSubtype"
"00TVo00001EAdywMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdywMAD","Call"
"00TVo00001EAdyxMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdyxMAD","Call"
"00TVo00001EAdyyMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdyyMAD","Call"
"00TVo00001EAdyzMAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdyzMAD","Call"
"00TVo00001EAdz0MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz0MAD","Call"
"00TVo00001EAdz1MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz1MAD","Call"
"00TVo00001EAdz2MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz2MAD","Call"
"00TVo00001EAdz3MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz3MAD","Call"
"00TVo00001EAdz4MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz4MAD","Call"
"00TVo00001EAdz5MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz5MAD","Call"
"00TVo00001EAdz6MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz6MAD","Call"
"00TVo00001EAdz7MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz7MAD","Call"
"00TVo00001EAdz8MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz8MAD","Call"
"00TVo00001EAdz9MAD","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdz9MAD","Call"
"00TVo00001EAdzAMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzAMAT","Call"
"00TVo00001EAdzBMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzBMAT","Call"
"00TVo00001EAdzCMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzCMAT","Call"
"00TVo00001EAdzDMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzDMAT","Call"
"00TVo00001EAdzEMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzEMAT","Call"
"00TVo00001EAdzFMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzFMAT","Call"
"00TVo00001EAdzGMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzGMAT","Call"
"00TVo00001EAdzHMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzHMAT","Call"
"00TVo00001EAdzIMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzIMAT","Call"
"00TVo00001EAdzJMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzJMAT","Call"
"00TVo00001EAdzKMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzKMAT","Call"
"00TVo00001EAdzLMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzLMAT","Call"
"00TVo00001EAdzMMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzMMAT","Call"
"00TVo00001EAdzNMAT","INVALID_FIELD_FOR_INSERT_UPDATE:Unable to create/update fields: TaskSubtype. Please check the security settings of this field and verify that it is read/write for your profile or permission set.:TaskSubtype --","00TVo00001EAdzNMAT","Call"
