"Id","Date_Completed__c"
"a0tdm00000BNUWxAAP","2025-06-23"
"a0tdm00000BNUWyAAP","2025-07-06"
"a0tdm00000BNUWzAAP","2025-07-08"
"a0tdm00000BNUX0AAP","2025-07-06"
"a0tdm00000BNUX1AAP","2025-06-24"
"a0tdm00000BNUX2AAP","2025-06-29"
"a0tdm00000BNUX3AAP","2025-06-30"
"a0tdm00000BNUX4AAP","2025-06-30"
"a0tdm00000BNUX5AAP","2025-07-01"
"a0tdm00000BNUX6AAP","2025-07-01"
"a0tdm00000BNUX7AAP","2025-06-30"
"a0tdm00000BNUX8AAP","2025-07-01"
"a0tdm00000BNUX9AAP","2025-07-01"
"a0tdm00000BNUXAAA5","2025-07-01"
"a0tdm00000BNUXBAA5","2025-07-05"
"a0tdm00000BNUXCAA5","2025-07-06"
"a0tdm00000BNUXDAA5","2025-07-06"
"a0tdm00000BNUXEAA5","2025-07-06"
"a0tdm00000BNUXFAA5","2025-07-06"
"a0tdm00000BNUXGAA5","2025-07-06"
"a0tdm00000BNUXHAA5","2025-07-08"
"a0tdm00000BNUXIAA5","2025-07-08"
"a0tdm00000BNUXJAA5","2025-07-08"
"a0tdm00000BNUXKAA5","2025-07-06"
"a0tdm00000BNUXLAA5","2025-07-08"
"a0tdm00000BNUXMAA5","2025-07-09"
"a0tdm00000BNUXNAA5","2025-07-09"
"a0tdm00000BNUXOAA5","2025-07-09"
"a0tdm00000BNUXPAA5","2025-07-08"
"a0tdm00000BNUXQAA5","2025-07-12"
"a0tdm00000BNUXRAA5","2025-07-08"
"a0tdm00000BNUXSAA5","2025-07-09"
"a0tdm00000BNUXTAA5","2025-07-08"
"a0tdm00000BNUXUAA5","2025-07-09"
"a0tdm00000BNUXVAA5","2025-07-09"
"a0tdm00000BNUXWAA5","2025-07-09"
"a0tdm00000BNUXXAA5","2025-07-12"
"a0tdm00000BNUXYAA5","2025-07-13"
"a0tdm00000BNUXZAA5","2025-07-14"
"a0tdm00000BNUXaAAP","2025-07-14"
"a0tdm00000BNUXbAAP","2025-07-14"
"a0tdm00000BNUXcAAP","2025-07-14"
"a0tdm00000BNUXdAAP","2025-07-14"
"a0tdm00000BNUXeAAP","2025-07-15"
"a0tdm00000BNUXfAAP","2025-08-12"
"a0tdm00000BNUXgAAP","2025-07-20"
"a0tdm00000BNUXhAAP","2025-07-21"
"a0tdm00000BNUXiAAP","2025-07-22"
"a0tdm00000BNUXjAAP","2025-07-22"
"a0tdm00000BNUXkAAP","2025-07-23"
"a0tdm00000BNUXlAAP","2025-07-23"
"a0tdm00000BNUXmAAP","2025-07-23"
"a0tdm00000BNUXnAAP","2025-07-23"
"a0tdm00000BNUXoAAP","2025-07-26"
"a0tdm00000BNUXpAAP","2025-07-26"
"a0tdm00000BNUXqAAP","2025-07-26"
"a0tdm00000BNUXrAAP","2025-07-26"
"a0tdm00000BNUXsAAP","2025-07-26"
"a0tdm00000BNUXtAAP","2025-07-21"
"a0tdm00000BNUXuAAP","2025-07-26"
"a0tdm00000BNUXvAAP","2025-07-27"
"a0tdm00000BNUXwAAP","2025-07-27"
"a0tdm00000BNUXxAAP","2025-07-29"
"a0tdm00000BNUXyAAP","2025-07-27"
"a0tdm00000BNUXzAAP","2025-07-29"
"a0tdm00000BNUY0AAP","2025-07-29"
"a0tdm00000BNUY1AAP","2025-07-30"
"a0tdm00000BNUY2AAP","2025-07-27"
"a0tdm00000BNUY3AAP","2025-07-30"
"a0tdm00000BNUY4AAP","2025-07-30"
"a0tdm00000BNUY5AAP","2025-08-02"
"a0tdm00000BNUY6AAP","2025-08-03"
"a0tdm00000BNUY7AAP","2025-08-09"
"a0tdm00000BNUY8AAP","2025-08-11"
"a0tdm00000BNUY9AAP","2025-08-11"
"a0tdm00000BNUYAAA5","2025-08-12"
"a0tdm00000BNUYBAA5","2025-08-13"
"a0tdm00000BNUYCAA5","2025-08-11"
"a0tdm00000BNUYDAA5","2025-08-12"
"a0tdm00000BNUYEAA5","2025-08-13"
"a0tdm00000BNUYFAA5","2025-08-13"
"a0tdm00000BNUYGAA5","2025-08-13"
"a0tdm00000BNUYHAA5","2025-08-16"
"a0tdm00000BNUYIAA5","2025-08-16"
"a0tdm00000BNUYJAA5","2025-08-16"
"a0tdm00000BNUYKAA5","2025-08-16"
"a0tdm00000BNUYLAA5","2025-08-16"
"a0tdm00000BNUYMAA5","2025-08-13"
"a0tdm00000BNUYNAA5","2025-08-16"
"a0tdm00000BNUYOAA5","2025-08-17"
"a0tdm00000BNUYPAA5","2025-08-18"
"a0tdm00000BNUYQAA5","2025-08-20"
"a0tdm00000BNUYRAA5","2025-11-03"
"a0tdm00000BNUYSAA5","2025-08-18"
"a0tdm00000BNUYTAA5","2025-08-16"
"a0tdm00000BNUYUAA5","2025-08-19"
"a0tdm00000BNUYVAA5","2025-08-16"
"a0tdm00000BNUYWAA5","2025-08-17"
