"Subject","ActivityDate","Type","Status","OwnerId","WhoId"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSBEIA2"
"F/up to schedule SI 1","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQy0IAE"
"F/u to schedule AI redo based on time.","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQziIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQGCIA2"
"F/up to schedule SI 2","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQGuIAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"KIT","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQGhIAM"
"KIT","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQz1IAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","0035f00002G7hotAAB"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"KIT","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRxOIAU"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo0000154lONIAY"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSUYIA2"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRvgIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktPhMIAU"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSelIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000Xz1qlIAB"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRwmIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSrGIAU"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQGHIA2"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","0035f00002G7dUeAAJ"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSewIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQxrIAE"
"Wish Happy Holidays!","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRLWIA2"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000kt1OsIAI"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Wish A merry christmas","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRupIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSTfIAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktQbjIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRKWIA2"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"F/up did he complete.","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000kseqgIAA"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","0035f00002G7ip0AAB"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktSTsIAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"KIT","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Exam/??","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Which codes?","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktT5cIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktT5eIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRx5IAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktT5fIAE"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktRL1IAM"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"F/u to schedule AI","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000kt6EQIAY"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000kt6EQIAY"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktT5KIAU"
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB",""
"Call","2025-03-21","Call","Not Started","0055f00000DqpnpAAB","003Vo00000ktT5MIAU"
